股票代码,股票名称,peTTM,pctChg
sh.600000,浦发银行,8.580528,0.7037
sh.600004,白云机场,21.719442,0.5297
sh.600006,东风股份,362.650297,-0.4093
sh.600007,中国国贸,16.997949,-0.1435
sh.600008,首创环保,6.46998,0.0
sh.600009,上海机场,39.328529,0.3687
sh.600010,包钢股份,537.643586,10.1887
sh.600011,华能国际,10.015395,8.3926
sh.600012,皖通高速,16.046418,-0.9944
sh.600015,华夏银行,4.759837,0.2497
sh.600016,民生银行,6.829099,-0.2024
sh.600017,日照港,16.16773,0.0
sh.600018,上港集团,8.811865,0.8787
sh.600019,宝钢股份,20.896973,0.9358
sh.600020,中原高速,10.809737,0.6593
sh.600021,上海电力,11.927819,1.2807
sh.600022,山东钢铁,-10.276485,0.641
sh.600023,浙能电力,10.019206,0.7692
sh.600025,华能水电,19.318492,0.7519
sh.600026,中远海能,13.947318,0.5906
sh.600027,华电国际,10.337737,3.0132
sh.600028,中国石化,16.099597,1.8644
sh.600029,南方航空,-32.684493,-0.3454
sh.600030,中信证券,18.950251,-0.5676
sh.600031,三一重工,24.943867,0.0495
sh.600032,浙江新能,38.625135,0.0
sh.600033,福建高速,12.30106,0.2857
sh.600035,楚天高速,9.13064,0.0
sh.600036,招商银行,7.589875,0.6343
sh.600037,歌华有线,-462.821731,0.4667
sh.600038,中直股份,51.80793,-0.8252
sh.600039,四川路桥,10.123307,0.0
sh.600048,保利发展,315.332156,-1.1876
sh.600050,中国联通,18.440794,-0.3676
sh.600051,宁波联合,26.832645,-0.9138
sh.600052,东望时代,-8.359022,0.4619
sh.600053,九鼎投资,-22.51176,-1.4842
sh.600054,黄山旅游,26.457552,0.766
sh.600055,万东医疗,78.193607,-0.5618
sh.600056,中国医药,30.33459,2.6388
sh.600057,厦门象屿,13.531278,0.411
sh.600058,五矿发展,29.365148,-1.0817
sh.600059,古越龙山,45.176352,-0.2979
sh.600060,海信视像,13.301065,1.364
sh.600061,国投资本,16.405048,-1.1465
sh.600062,华润双鹤,13.595834,6.4193
sh.600063,皖维高新,24.811343,0.7767
sh.600064,南京高科,7.126202,-0.2561
sh.600066,宇通客车,13.428186,1.6706
sh.600067,冠城新材,-6.560744,-0.9677
sh.600071,凤凰光学,152.517365,-0.9234
sh.600072,中船科技,-297.087844,-0.3864
sh.600073,光明肉业,26.097475,5.5034
sh.600075,新疆天业,34.504917,-0.6579
sh.600076,康欣新材,-9.184462,-0.8403
sh.600078,澄星股份,-25.591816,-2.0155
sh.600079,人福医药,25.927852,-0.498
sh.600080,金花股份,55.417431,0.2604
sh.600081,东风科技,65.9424,-1.1521
sh.600082,海泰发展,246.712015,1.2346
sh.600084,中信尼雅,503.622143,1.0508
sh.600085,同仁堂,32.913042,0.9053
sh.600088,中视传媒,278.784261,-0.6965
sh.600089,特变电工,18.692203,-1.2839
sh.600094,大名城,-3.333109,-0.9202
sh.600095,湘财股份,471.315665,-0.5348
sh.600096,云天化,8.897865,2.8152
