股票名称,股票代码,股票所属行业,F-Score值,资产收益率为正,经营现金流为正,资产收益率增长,经营现金流大于净利润,杠杆率降低,流动比率提高,未发行新股,毛利率提高,资产周转率提高
福耀玻璃,600660,,3,1,0,1,0,0,0,1,1,0
长青科技,1324,,3,1,0,1,0,0,0,1,1,0
回盛生物,300871,,3,1,0,1,0,0,0,1,1,0
联创电子,2036,,3,1,0,1,0,0,0,1,1,0
金安国纪,2636,,3,1,0,1,0,0,0,1,1,0
宝丰能源,600989,,3,1,0,1,0,0,0,1,1,0
渤海股份,605,,3,1,0,1,0,0,0,1,1,0
万丰奥威,2085,,3,1,0,1,0,0,0,1,1,0
中国移动,600941,,3,1,0,1,0,0,0,1,1,0
特发信息,70,,3,1,0,1,0,0,0,1,1,0
蓝黛科技,2765,,3,1,0,1,0,0,0,1,1,0
中信金属,601061,,3,1,0,1,0,0,0,1,1,0
泰山石油,554,,3,1,0,1,0,0,0,1,1,0
祥源新材,300980,,3,1,0,1,0,0,0,1,1,0
云铝股份,807,,3,1,0,1,0,0,0,1,1,0
东北证券,686,,3,1,0,1,0,0,0,1,1,0
远东股份,600869,,3,1,0,1,0,0,0,1,1,0
南极光,300940,,3,1,0,1,0,0,0,1,1,0
ST易联众,300096,,3,1,0,1,0,0,0,1,1,0
安利股份,300218,,3,1,0,1,0,0,0,1,1,0
特发服务,300917,,3,1,0,1,0,0,0,1,1,0
徐家汇,2561,,3,1,0,1,0,0,0,1,1,0
科锐国际,300662,,3,1,0,1,0,0,0,1,1,0
国脉科技,2093,,3,1,0,1,0,0,0,1,1,0
深中华A,17,,3,1,0,1,0,0,0,1,1,0
深粮控股,19,,3,1,0,1,0,0,0,1,1,0
红塔证券,601236,,3,1,0,1,0,0,0,1,1,0
津荣天宇,300988,,3,1,0,1,0,0,0,1,1,0
国脉文化,600640,,3,1,0,1,0,0,0,1,1,0
当升科技,300073,,3,1,0,1,0,0,0,1,1,0
浩物股份,757,,3,1,0,1,0,0,0,1,1,0
广联航空,300900,,3,1,0,1,0,0,0,1,1,0
振芯科技,300101,,3,1,0,1,0,0,0,1,1,0
悦达投资,600805,,3,1,0,1,0,0,0,1,1,0
银信科技,300231,,3,1,0,1,0,0,0,1,1,0
网宿科技,300017,,3,1,0,1,0,0,0,1,1,0
苏美达,600710,,3,1,0,1,0,0,0,1,1,0
爱尔眼科,300015,,3,1,0,1,0,0,0,1,1,0
联科科技,1207,,3,1,0,1,0,0,0,1,1,0
山东出版,601019,,3,1,0,1,0,0,0,1,1,0
露笑科技,2617,,3,1,0,1,0,0,0,1,1,0
节能环境,300140,,3,1,0,1,0,0,0,1,1,0
江苏国信,2608,,3,1,0,1,0,0,0,1,1,0
ST先河,300137,,3,1,0,1,0,0,0,1,1,0
国投中鲁,600962,,3,1,0,1,0,0,0,1,1,0
中电环保,300172,,3,1,0,1,0,0,0,1,1,0
四川长虹,600839,,3,1,0,1,0,0,0,1,1,0
厦门空港,600897,,3,1,0,1,0,0,0,1,1,0
东方证券,600958,,3,1,0,1,0,0,0,1,1,0
长青集团,2616,,3,1,0,1,0,0,0,1,1,0
通策医疗,600763,,3,1,0,1,0,0,0,1,1,0
辽宁能源,600758,,3,1,0,1,0,0,0,1,1,0
国安达,300902,,3,1,0,1,0,0,0,1,1,0
曼卡龙,300945,,3,1,0,1,0,0,0,1,1,0
赤峰黄金,600988,,3,1,0,1,0,0,0,1,1,0
深圳瑞捷,300977,,3,1,0,1,0,0,0,1,1,0
浙文互联,600986,,3,1,0,1,0,0,0,1,1,0
大东南,2263,,3,1,0,1,0,0,0,1,1,0
瑜欣电子,301107,,3,1,0,1,0,0,0,1,1,0
奇正藏药,2287,,3,1,0,1,0,0,0,1,1,0
力源信息,300184,,3,1,0,1,0,0,0,1,1,0
晨光生物,300138,,3,1,0,1,0,0,0,1,1,0
*ST宇顺,2289,,3,1,0,1,0,0,0,1,1,0
宁波色母,301019,,3,1,0,1,0,0,0,1,1,0
奥特佳,2239,,3,1,0,1,0,0,0,1,1,0
浙江世宝,2703,,3,1,0,1,0,0,0,1,1,0
综艺股份,600770,,3,1,0,1,0,0,0,1,1,0
广誉远,600771,,3,1,0,1,0,0,0,1,1,0
天桥起重,2523,,3,1,0,1,0,0,0,1,1,0
博硕科技,300951,,3,1,0,1,0,0,0,1,1,0
科大智能,300222,,3,1,0,1,0,0,0,1,1,0
金达威,2626,,3,1,0,1,0,0,0,1,1,0
创元科技,551,,3,1,0,1,0,0,0,1,1,0
郴电国际,600969,,3,1,0,1,0,0,0,1,1,0
金田股份,601609,,3,1,0,1,0,0,0,1,1,0
西点药业,301130,,3,1,0,1,0,0,0,1,1,0
新五丰,600975,,3,1,0,1,0,0,0,1,1,0
株冶集团,600961,,3,1,0,1,0,0,0,1,1,0
红旗连锁,2697,,3,1,0,1,0,0,0,1,1,0
江苏有线,600959,,3,1,0,1,0,0,0,1,1,0
中泰证券,600918,,3,1,0,1,0,0,0,1,1,0
石化油服,600871,,3,1,0,1,0,0,0,1,1,0
亚钾国际,893,,3,1,0,1,0,0,0,1,1,0
金房能源,1210,,3,1,0,1,0,0,0,1,1,0
长江传媒,600757,,3,1,0,1,0,0,0,1,1,0
妙可蓝多,600882,,3,1,0,1,0,0,0,1,1,0
金龙鱼,300999,,3,1,0,1,0,0,0,1,1,0
天风证券,601162,,3,1,0,1,0,0,0,1,1,0
商络电子,300975,,3,1,0,1,0,0,0,1,1,0
惠而浦,600983,,3,1,0,1,0,0,0,1,1,0
万达电影,2739,,3,1,0,1,0,0,0,1,1,0
博实股份,2698,,3,1,0,1,0,0,0,1,1,0
高新发展,628,,3,1,0,1,0,0,0,1,1,0
强邦新材,1279,,3,1,0,1,0,0,0,1,1,0
海欣股份,600851,,3,1,0,1,0,0,0,1,1,0
洲明科技,300232,,3,1,0,1,0,0,0,1,1,0
广东宏大,2683,,3,1,0,1,0,0,0,1,1,0
三川智慧,300066,,3,1,0,1,0,0,0,1,1,0
大连重工,2204,,3,1,0,1,0,0,0,1,1,0
亚威股份,2559,,3,1,0,1,0,0,0,1,1,0
通宝能源,600780,,3,1,0,1,0,0,0,1,1,0
圣元环保,300867,,3,1,0,1,0,0,0,1,1,0
恒宇信通,300965,,3,1,0,1,0,0,0,1,1,0
奥瑞金,2701,,3,1,0,1,0,0,0,1,1,0
永兴股份,601033,,3,1,0,1,0,0,0,1,1,0
辉煌科技,2296,,3,1,0,1,0,0,0,1,1,0
光大银行,601818,,3,1,0,1,0,0,0,1,1,0
克明食品,2661,,3,1,0,1,0,0,0,1,1,0
马应龙,600993,,3,1,0,1,0,0,0,1,1,0
北矿科技,600980,,3,1,0,1,0,0,0,1,1,0
三峡能源,600905,,3,1,0,1,0,0,0,1,1,0
柳钢股份,601003,,3,1,0,1,0,0,0,1,1,0
宏盛华源,601096,,3,1,0,1,0,0,0,1,1,0
柳工,528,,3,1,0,1,0,0,0,1,1,0
创业环保,600874,,3,1,0,1,0,0,0,1,1,0
梅花生物,600873,,3,1,0,1,0,0,0,1,1,0
捷佳伟创,300724,,3,1,0,1,0,0,0,1,1,0
华安证券,600909,,3,1,0,1,0,0,0,1,1,0
天舟文化,300148,,3,1,0,1,0,0,0,1,1,0
君正集团,601216,,3,1,0,1,0,0,0,1,1,0
东方精工,2611,,3,1,0,1,0,0,0,1,1,0
华峰超纤,300180,,3,1,0,1,0,0,0,1,1,0
捷顺科技,2609,,3,1,0,1,0,0,0,1,1,0
东吴证券,601555,,3,1,0,1,0,0,0,1,1,0
保立佳,301037,,3,1,0,1,0,0,0,1,1,0
瑞丰光电,300241,,3,1,0,1,0,0,0,1,1,0
仲景食品,300908,,3,1,0,1,0,0,0,1,1,0
广康生化,300804,,3,1,0,1,0,0,0,1,1,0
长青股份,2391,,3,1,0,1,0,0,0,1,1,0
长荣股份,300195,,3,1,0,1,0,0,0,1,1,0
志特新材,300986,,3,1,0,1,0,0,0,1,1,0
双鹭药业,2038,,3,1,0,1,0,0,0,1,1,0
长江材料,1296,,3,1,0,1,0,0,0,1,1,0
博云新材,2297,,3,1,0,1,0,0,0,1,1,0
通达动力,2576,,3,1,0,1,0,0,0,1,1,0
顺网科技,300113,,3,1,0,1,0,0,0,1,1,0
上海钢联,300226,,3,1,0,1,0,0,0,1,1,0
信达证券,601059,,3,1,0,1,0,0,0,1,1,0
方正证券,601901,,3,1,0,1,0,0,0,1,1,0
中国铝业,601600,,3,1,0,1,0,0,0,1,1,0
密封科技,301020,,3,1,0,1,0,0,0,1,1,0
南网储能,600995,,3,1,0,1,0,0,0,1,1,0
渤海汽车,600960,,3,1,0,1,0,0,0,1,1,0
金沃股份,300984,,3,1,0,1,0,0,0,1,1,0
四川成渝,601107,,3,1,0,1,0,0,0,1,1,0
锦江航运,601083,,3,1,0,1,0,0,0,1,1,0
奥飞数据,300738,,3,1,0,1,0,0,0,1,1,0
西安银行,600928,,3,1,0,1,0,0,0,1,1,0
建元信托,600816,,3,1,0,1,0,0,0,1,1,0
锦龙股份,712,,3,1,0,1,0,0,0,1,1,0
杭齿前进,601177,,3,1,0,1,0,0,0,1,1,0
万润股份,2643,,3,1,0,1,0,0,0,1,1,0
横店东磁,2056,,3,1,0,1,0,0,0,1,1,0
高新兴,300098,,3,1,0,1,0,0,0,1,1,0
沪农商行,601825,,3,1,0,1,0,0,0,1,1,0
吴通控股,300292,,3,1,0,1,0,0,0,1,1,0
四方股份,601126,,3,1,0,1,0,0,0,1,1,0
华东重机,2685,,3,1,0,1,0,0,0,1,1,0
同兴科技,3027,,3,1,0,1,0,0,0,1,1,0
国盛金控,2670,,3,1,0,1,0,0,0,1,1,0
三鑫医疗,300453,,3,1,0,1,0,0,0,1,1,0
史丹利,2588,,3,1,0,1,0,0,0,1,1,0
北京君正,300223,,3,1,0,1,0,0,0,1,1,0
朗姿股份,2612,,3,1,0,1,0,0,0,1,1,0
正邦科技,2157,,3,1,0,1,0,0,0,1,1,0
浙江正特,1238,,3,1,0,1,0,0,0,1,1,0
中国西电,601179,,3,1,0,1,0,0,0,1,1,0
蓝科高新,601798,,3,1,0,1,0,0,0,1,1,0
久祺股份,300994,,3,1,0,1,0,0,0,1,1,0
品渥食品,300892,,3,1,0,1,0,0,0,1,1,0
赛象科技,2337,,3,1,0,1,0,0,0,1,1,0
新华文轩,601811,,3,1,0,1,0,0,0,1,1,0
赛力斯,601127,,3,1,0,1,0,0,0,1,1,0
中南传媒,601098,,3,1,0,1,0,0,0,1,1,0
