股票代码,股票名称,股票上市日期,股票上市地点,股票所属行业,每股收益,每股净资产,净资产收益率,总资产收益率,毛利率,净利率,营业利润率,市盈率（静）,市盈率（TTM）,市净率,市销率,股息率,营业收入增长率,净利润增长率,净资产增长率,净利润增速,资产负债率,流动比率,总资产周转率,存货周转率,应收账款周转率,每股经营现金流,现金流量比率
000001,平安银行,,深圳,,486,5.25,1089,,-10.0438209822,-3.898914177518,0.0,543,555,55,157,91.3180359836,13.357110823373,-3489,19910403,-3489,241603681565.1,19405918198.0,35.8434820206,1333,900,,
000002,万  科Ａ,,深圳,,-358,-6.07,1089,,-26.2332146605,-21.254241812165,9.9681273017,-173,-166,45,816,73.1054854428,2.698188156308,-647,19910129,-647,85423879812.36,11930709471.0,-10.315838999,1069,620,,
000004,*ST国华,,深圳,,-1620,-14.16,4,,-23.2103552145,-120.158712038968,57.4863101114,-1031,-878,6107,904,89.0241039927,-10.241617581235,-4940,19901201,-4940,1355574087.68,132380282.0,-154.6994839451,2481,719,,
000006,深振业Ａ,,深圳,,-9538,-0.48,1089,,540.2783310996,2.487580015221,16.52048883,-631,-631,184,461,63.2849438814,1.011305681747,-830,19920427,-830,9895463687.18,1349995046.0,-1.4920827168000002,1041,379,,
000007,全新好,,深圳,,37188,0.98,1,,120.4111263029,176.587916547903,11.560258624,4673,4581,1456,328,37.9754468438,-0.951307765848,6143,19920413,6143,2636469614.84,346448044.0,1.6776858429,861,453,,
000008,神州高铁,,深圳,,-4764,-1.48,1089,,23.620106892,12.325628060078,30.8498062543,-1489,-1506,272,336,69.3109941797,-0.901758831425,-167,19920507,-167,8121969272.170001,2716377683.0,-18.5614115632,408,192,,
000009,中国宝安,,深圳,,3668,1.69,1089,,-2.7259702949,138.195013010685,28.2526640274,14329,9146,247,126,59.8494822431,2.175541898809,-2066,19910625,-2066,24734661924.35,2579213965.0,8.6157025451,1109,710,,
000010,美丽生态,,深圳,,-24004,-1.94,1,,76.2029966163,76.469412551254,18.1194604261,31577,15264,1880,695,87.9159532975,-2.449770696617,-2053,19951027,-2053,5564317093.28,1149652292.0,-4.4256274117,525,164,,
000011,深物业A,,深圳,,28396,0.15,1025,,21.3521259493,979.79025166237,25.8386192592,-510,-512,169,405,79.8098029501,4.307024959929,3869,19920330,3869,5685640537.679999,595979092.0,0.6415624443000001,1118,716,,
000012,南  玻Ａ,,深圳,,10032,0.55,1089,,-19.7476708348,-89.833538459458,14.5218354289,5606,-3817,113,122,56.839696065,2.633626686168,-1684,19920228,-1684,14954270561.09,3070692107.0,0.9947715902,628,446,,
000014,沙河股份,,深圳,,-9624,-0.59,1,,-96.2313771334,-120.563438636113,30.3140506888,22326,-9302,227,968,23.2325052083,4.434411186187,-4159,19920602,-4159,3671841218.08,242046224.0,-121.0461744959,1780,779,,
000016,深康佳Ａ,,深圳,,3886,4.0,1089,,3.3245508367,118.585240867945,5.6159778971,-447,-548,622,1096,92.4941379218,-0.707115790596,10000,19920327,10000,14736625896.96,2407945408.0,2.2015525249,774,242,,
000017,深中华A,,深圳,,12506,5.26,1,,49.856777601,224.797799493133,10.8939454574,27575,15641,1284,538,25.1146202624,-1.679136158625,5549,19920331,5549,4645106448.42,689184933.0,5.9151671439,776,496,,
000019,深粮控股,,深圳,,2298,3.51,1025,,-1.3335861605,36.444797047234,18.541951777,2487,2173,164,318,30.2367093209,1.632144434829,-4043,19921012,-4043,8090797483.08,1152535254.0,7.380934741500001,773,536,,
000020,深华发Ａ,,深圳,,14099,3.49,1,,11.7586684753,42.621316805303,11.9645968982,11006,9857,967,237,43.9476718409,-0.314773355993,-2481,19920428,-2481,4043542321.56,283161227.0,3.1434948284,1716,922,,
000021,深科技,,深圳,,4601,1.5,1089,,7.6209314713,46.911532255172,16.2377789119,3539,3335,278,910,48.1607145693,4.00541983937,1821,19940202,1821,32928398106.800003,1560587588.0,6.7735063846,2471,1250,,
000025,特  力Ａ,,深圳,,4672,4.77,1089,,-44.4139601965,9.588718874898,16.1234676651,5745,5452,444,484,28.9564733496,1.946954375733,2645,19930621,2645,7849572007.200001,431058320.0,9.2944555207,2169,1325,,
000026,飞亚达,,深圳,,4789,2.41,1,,-14.0756245466,-43.967411707096,35.5536108302,3583,5073,237,802,14.0531264103,4.159210171567,69,19930603,69,7896167576.22,405764007.0,4.6210427777,2307,818,,
000027,深圳能源,,深圳,,613,4.02,1089,,1.7763449309,22.307982764844,26.2632061981,1654,1473,104,64,62.5194943608,3.33116099618,-4286,19930903,-4286,33159007714.52,4757389916.0,16.0405856708,767,519,,
000028,国药一致,,深圳,,1093,3.7,1089,,-2.6183843973,-10.4345949016,10.3446750297,2266,2577,80,139,57.8155542159,22.818258790158,-4673,19930809,-4673,14559742414.32,556565077.0,1.9005490389,3442,2331,,
000029,深深房Ａ,,深圳,,10501,1.94,1089,,457.3831975205,3718.50664097442,29.2066227124,-17215,-28648,848,141,39.1294543546,1.281373743639,-4958,19930915,-4958,30420616200.0,1011660000.0,21.8212859847,3013,1083,,
000030,富奥股份,,深圳,,1617,2.04,1089,,-3.6448999045,0.264302427698,10.9834162667,1562,1561,134,77,47.245721758,2.848235883313,1975,19930929,1975,10559638588.3,1719810845.0,5.3826553794,635,408,,
000031,大悦城,,深圳,,-1385,-2.46,1089,,32.2146454412,-174.793289195008,34.5989047477,-479,-454,138,102,76.5378581271,-0.726343970685,-660,19931008,-660,14273423418.87,4286313339.0,1.2615316799,422,227,,
000032,深桑达Ａ,,深圳,,-20867,-0.53,1089,,-18.4080199606,-299.684431016389,8.4154910804,8621,10203,450,483,81.7698873905,1.28429109131,1267,19931028,1267,28426221665.32,1137959234.0,0.1496107752,3351,1216,,
000034,神州数码,,深圳,,3862,2.27,1089,,8.5642563633,-7.513255223203,3.7265153458,4459,4566,320,1335,74.7309732813,5.66631451684,8505,19940509,8505,33564391253.25,711260675.0,0.7443176316,6023,2293,,
000035,中国天楹,,深圳,,2624,1.96,1089,,-2.7206826325,-41.249065002366,30.8825512114,3966,8447,102,124,65.4354183099,1.430904229166,-2794,19940408,-2794,11103477328.080002,2500783182.0,8.3451105578,580,392,,
000036,华联控股,,深圳,,28214,0.11,1089,,4.2665333144,-71.934826859071,48.6242751761,15975,25070,127,380,21.504932928,2.182509685145,-1738,19940617,-1738,6471604322.25,1403818725.0,8.5455174241,635,281,,
000037,深南电A,,深圳,,-12948,-1.47,1,,-11.4496126489,42.565727405526,2.5801904083,25697,14807,384,357,25.0045127955,0.273522259882,2002,19940701,2002,5629802646.64,602762596.0,-15.046925755099998,1141,670,,
