股票代码,股票名称,股票上市日期,股票上市地点,股票所属行业,每股收益,每股净资产,净资产收益率,总资产收益率,毛利率,净利率,营业利润率,市盈率（静）,市盈率（TTM）,市净率,市销率,股息率,营业收入增长率,净利润增长率,净资产增长率,净利润增速,资产负债率,流动比率,速动比率,总资产周转率,存货周转率,应收账款周转率,每股经营现金流,现金流量比率
000001,平安银行,19910403,深圳,银行,,,,,,,,,,,,,,,,,,,,,,,,
000002,万  科Ａ,19910129,深圳,房地产开发,,,,,,,,-156.0,,42.0,,73.1054854428,,,,,,,,,,,,
000004,*ST国华,19901201,深圳,软件开发,,,,,,,,-968.0,,6733.0,,89.0241039927,,,,,,,,,,,,
000006,深振业Ａ,19920427,深圳,房地产开发,,,,,,,,-606.0,,177.0,,63.2849438814,,,,,,,,,,,,
000007,全新好,19920413,深圳,房地产服务,,,,,,,,4533.0,,1441.0,,37.9754468438,,,,,,,,,,,,
000008,神州高铁,19920507,深圳,交运设备,,,,,,,,-1674.0,,266.0,,67.383208121,,,,,,,,,,,,
000009,中国宝安,19910625,深圳,综合行业,,,,,,,,8994.0,,243.0,,59.8494822431,,,,,,,,,,,,
000010,美丽生态,19951027,深圳,工程建设,,,,,,,,14917.0,,1837.0,,87.9159532975,,,,,,,,,,,,
000011,深物业A,19920330,深圳,房地产开发,,,,,,,,-485.0,,160.0,,79.8098029501,,,,,,,,,,,,
000012,南  玻Ａ,19920228,深圳,玻璃玻纤,,,,,,,,-3754.0,,111.0,,56.839696065,,,,,,,,,,,,
000014,沙河股份,19920602,深圳,房地产开发,,,,,,,,-8873.0,,217.0,,23.2325052083,,,,,,,,,,,,
000016,深康佳Ａ,19920327,深圳,家电行业,,,,,,,,-527.0,,599.0,,92.4941379218,,,,,,,,,,,,
000017,深中华A,19920331,深圳,珠宝首饰,,,,,,,,15130.0,,1242.0,,25.1146202624,,,,,,,,,,,,
000019,深粮控股,19921012,深圳,贸易行业,,,,,,,,2154.0,,163.0,,30.2367093209,,,,,,,,,,,,
000020,深华发Ａ,19920428,深圳,光学光电子,,,,,,,,9670.0,,949.0,,43.9476718409,,,,,,,,,,,,
000021,深科技,19940202,深圳,消费电子,,,,,,,,3252.0,,270.0,,46.7273654432,,,,,,,,,,,,
000025,特  力Ａ,19930621,深圳,珠宝首饰,,,,,,,,5260.0,,428.0,,28.9564733496,,,,,,,,,,,,
000026,飞亚达,19930603,深圳,珠宝首饰,,,,,,,,4770.0,,223.0,,14.0531264103,,,,,,,,,,,,
000027,深圳能源,19930903,深圳,电力行业,,,,,,,,1464.0,,103.0,,62.5194943608,,,,,,,,,,,,
000028,国药一致,19930809,深圳,医药商业,,,,,,,,2538.0,,79.0,,57.8155542159,,,,,,,,,,,,
