股票代码,股票名称,年份,净利润(万元),ROE(%),毛利率(%),资产负债率(%),流动比率,经营现金流净额(万元)
sh.600000,浦发银行,2024,45835000000.0,0.06195,0.0,0.009213,0.0,-62122520.9649
sh.600000,浦发银行,2023,37429000000.0,0.051598,0.0,0.918634,0.0,73819695.1483
sh.600000,浦发银行,2022,51997000000.0,0.074818,0.0,0.918805,0.0,65285482.9032
sh.600004,白云机场,2024,965752959.58,0.051522,0.270463,0.003114,0.983094,341012.5902720303
sh.600004,白云机场,2023,481003664.14,0.025409,0.211254,0.32011,0.681887,235966.5631517807
sh.600004,白云机场,2022,-1091789852.15,-0.060343,-0.241238,0.35382,0.503806,86850.84862435758
sh.600006,东风股份,2024,33445950.27,0.003516,0.017752,0.005028,1.586608,-254423.36082091246
sh.600006,东风股份,2023,202943617.35,0.024239,0.04262,0.551529,1.501806,-26282.169803418437
sh.600006,东风股份,2022,294846439.97,0.035158,0.087255,0.520433,1.59716,-28867.616234755915
sh.600007,中国国贸,2024,1263521768.0,0.130458,0.581435,0.002163,2.767713,179629.64146289282
sh.600007,中国国贸,2023,1260103397.0,0.133633,0.580128,0.246651,2.153549,191866.1792920075
sh.600007,中国国贸,2022,1116852803.0,0.125524,0.565314,0.286757,2.519839,182433.0898653524
sh.600008,首创环保,2024,4144467318.33,0.117826,0.347685,0.006477,1.076916,401940.0240751367
sh.600008,首创环保,2023,2086492234.16,0.056931,0.321994,0.649093,0.910222,336944.38522433775
sh.600008,首创环保,2022,4374556347.82,0.11527,0.327945,0.632937,0.837674,299435.72023382824
sh.600009,上海机场,2024,2225023652.83,0.047057,0.219343,0.003786,2.103956,553082.207409907
sh.600009,上海机场,2023,1189102040.58,0.023308,0.165116,0.395132,1.836529,402008.6470063979
sh.600009,上海机场,2022,-2789984707.95,-0.089252,-0.62413,0.399433,1.849756,-11696.37131350651
sh.600010,包钢股份,2024,20748912.46,0.005102,0.07877,0.006048,0.579791,237727.47301442985
sh.600010,包钢股份,2023,29604240.56,0.009885,0.097185,0.595039,0.556477,-98862.10942757728
sh.600010,包钢股份,2022,-1444940538.04,-0.013556,0.077327,0.581556,0.564601,206685.46884946266
sh.600011,华能国际,2024,14109545944.0,0.075202,0.151446,0.00654,0.538775,4894404.782700417
