股票代码,股票名称,股票上市日期,股票上市地点,股票所属行业,每股收益,每股净资产,净资产收益率,总资产收益率,毛利率,净利率,营业利润率,市盈率（静）,市盈率（TTM）,市净率,市销率,股息率,营业收入增长率,净利润增长率,净资产增长率,净利润增速,资产负债率,流动比率,总资产周转率,存货周转率,应收账款周转率,每股经营现金流,现金流量比率
000001,平安银行,,深圳,,482,5.25,1089,,-10.0438209822,-3.898914177518,0.0,539,551,54,71,91.3180359836,13.357110823373,-1312,19910403,-1312,239857148927.28,19405918198.0,35.8434820206,1333,900,,
000002,万  科Ａ,,深圳,,-349,-6.07,1089,,-26.2332146605,-21.254241812165,9.9681273017,-169,-162,44,451,73.1054854428,2.698188156308,2012,19910129,2012,83395659202.29001,11930709471.0,-10.315838999,1069,620,,
000004,*ST国华,,深圳,,-1701,-14.16,4,,-23.2103552145,-120.158712038968,57.4863101114,-1082,-922,6411,696,89.0241039927,-10.241617581235,10000,19901201,10000,1423088031.5,132380282.0,-154.6994839451,2481,719,,
000006,深振业Ａ,,深圳,,-9512,-0.48,1089,,540.2783310996,2.487580015221,16.52048883,-629,-629,184,351,63.2849438814,1.011305681747,3689,19920427,3689,9868463786.26,1349995046.0,-1.4920827168000002,1041,379,,
000007,全新好,,深圳,,37775,0.98,1,,120.4111263029,176.587916547903,11.560258624,4746,4653,1479,314,37.9754468438,-0.951307765848,-1807,19920413,-1807,2678043380.1200004,346448044.0,1.6776858429,861,453,,
000008,神州高铁,,深圳,,-4732,-1.48,1089,,23.620106892,12.325628060078,30.8498062543,-1479,-1496,270,204,69.3109941797,-0.901758831425,759,19920507,759,8067641718.51,2716377683.0,-18.5614115632,408,192,,
000009,中国宝安,,深圳,,3657,1.69,1089,,-2.7259702949,138.195013010685,28.2526640274,14284,9118,246,78,59.8494822431,2.175541898809,-2474,19910625,-2474,24657285505.4,2579213965.0,8.6157025451,1109,710,,
000010,美丽生态,,深圳,,-24153,-1.94,1,,76.2029966163,76.469412551254,18.1194604261,31773,15358,1891,581,87.9159532975,-2.449770696617,594,19951027,594,5598806662.04,1149652292.0,-4.4256274117,525,164,,
000011,深物业A,,深圳,,28455,0.15,1025,,21.3521259493,979.79025166237,25.8386192592,-511,-513,169,315,79.8098029501,4.307024959929,-2199,19920330,-2199,5697560119.52,595979092.0,0.6415624443000001,1118,716,,
000012,南  玻Ａ,,深圳,,10032,0.55,1089,,-19.7476708348,-89.833538459458,14.5218354289,5606,-3817,113,73,56.839696065,2.633626686168,-402,19920228,-402,14954270561.09,3070692107.0,0.9947715902,628,446,,
000014,沙河股份,,深圳,,-10043,-0.59,1,,-96.2313771334,-120.563438636113,30.3140506888,23298,-9707,237,1103,23.2325052083,4.434411186187,-1392,19920602,-1392,3831591725.92,242046224.0,-121.0461744959,1780,779,,
000016,深康佳Ａ,,深圳,,3918,4.0,1089,,3.3245508367,118.585240867945,5.6159778971,-451,-552,627,1913,92.4941379218,-0.707115790596,2903,19920327,2903,14857023167.36,2407945408.0,2.2015525249,774,242,,
000017,深中华A,,深圳,,12525,5.26,1,,49.856777601,224.797799493133,10.8939454574,27616,15664,1285,505,25.1146202624,-1.679136158625,-218,19920331,-218,4651998297.75,689184933.0,5.9151671439,776,496,,
000019,深粮控股,,深圳,,2315,3.51,1025,,-1.3335861605,36.444797047234,18.541951777,2505,2189,166,282,30.2367093209,1.632144434829,69,19921012,69,8148424245.780001,1152535254.0,7.380934741500001,773,536,,
000020,深华发Ａ,,深圳,,14277,3.49,1,,11.7586684753,42.621316805303,11.9645968982,11145,9981,980,230,43.9476718409,-0.314773355993,-3982,19920428,-3982,4094511342.42,283161227.0,3.1434948284,1716,922,,
000021,深科技,,深圳,,4747,1.5,1089,,7.6209314713,46.911532255172,16.2377789119,3652,3440,287,863,48.1607145693,4.00541983937,-6147,19940202,-6147,33973991790.76,1560587588.0,6.7735063846,2471,1250,,
000025,特  力Ａ,,深圳,,4638,4.77,1089,,-44.4139601965,9.588718874898,16.1234676651,5704,5413,441,273,28.9564733496,1.946954375733,3954,19930621,3954,7793534425.599999,431058320.0,9.2944555207,2169,1325,,
000026,飞亚达,,深圳,,4698,2.41,1,,-14.0756245466,-43.967411707096,35.5536108302,3515,4976,232,450,14.0531264103,4.159210171567,761,19930603,761,7746034893.63,405764007.0,4.6210427777,2307,818,,
000027,深圳能源,,深圳,,620,4.02,1089,,1.7763449309,22.307982764844,26.2632061981,1673,1490,105,157,62.5194943608,3.33116099618,-1988,19930903,-1988,33539598907.8,4757389916.0,16.0405856708,767,519,,
000028,国药一致,,深圳,,1097,3.7,1089,,-2.6183843973,-10.4345949016,10.3446750297,2275,2587,81,107,57.8155542159,22.818258790158,-1273,19930809,-1273,14615398922.02,556565077.0,1.9005490389,3442,2331,,
000029,深深房Ａ,,深圳,,11552,1.94,1089,,457.3831975205,3718.50664097442,29.2066227124,-18938,-31516,933,174,39.1294543546,1.281373743639,10000,19930915,10000,33465712800.0,1011660000.0,21.8212859847,3308,1083,,
000030,富奥股份,,深圳,,1622,2.04,1089,,-3.6448999045,0.264302427698,10.9834162667,1567,1566,135,84,47.245721758,2.848235883313,-5058,19930929,-5058,10594034805.2,1719810845.0,5.3826553794,635,408,,
000031,大悦城,,深圳,,-1393,-2.46,1089,,32.2146454412,-174.793289195008,34.5989047477,-482,-457,139,65,76.5378581271,-0.726343970685,-6050,19931008,-6050,14359149685.65,4286313339.0,1.2615316799,422,227,,
000032,深桑达Ａ,,深圳,,-21293,-0.53,1089,,-18.4080199606,-299.684431016389,8.4154910804,8797,10411,459,534,81.7698873905,1.28429109131,2376,19931028,2376,29006580874.66,1137959234.0,0.1496107752,3351,1216,,
000034,神州数码,,深圳,,3968,2.27,1089,,8.5642563633,-7.513255223203,3.7265153458,4581,4691,329,1232,74.7309732813,5.66631451684,-1912,19940509,-1912,34481917524.0,711260675.0,0.7443176316,6023,2293,,
000035,中国天楹,,深圳,,2654,1.96,1089,,-2.7206826325,-41.249065002366,30.8825512114,4010,8542,103,133,65.4354183099,1.430904229166,-4657,19940408,-4657,11228516487.18,2500783182.0,8.3451105578,580,392,,
000036,华联控股,,深圳,,27908,0.11,1089,,4.2665333144,-71.934826859071,48.6242751761,15801,24798,126,210,21.504932928,2.182509685145,-667,19940617,-667,6401413385.999999,1403818725.0,8.5455174241,635,281,,
000037,深南电A,,深圳,,-12893,-1.47,1,,-11.4496126489,42.565727405526,2.5801904083,25586,14744,382,276,25.0045127955,0.273522259882,-1442,19940701,-1442,5605692142.8,602762596.0,-15.046925755099998,1141,670,,
000039,中集集团,,深圳,,2053,1.09,1089,,11.0448304049,550.205057691158,12.0999481159,1502,1301,93,278,61.9894748412,6.266600974297,-3370,19940408,-3370,44650068787.8,5392520385.0,1.9978403646,998,666,,
000042,中洲控股,,深圳,,1612,5.66,65,,-28.4043356449,145.602764938564,43.69092147,-302,-430,178,70,90.2606275076,1.125908673781,-2041,19940921,-2041,6109798167.41,664831139.0,11.0673664665,943,344,,
