股票代码,股票名称,peTTM,pctChg,turn,pbMRQ
sh.600000,浦发银行,8.696919,-0.581,0.2592,0.613246
sh.600004,白云机场,18.503996,0.3109,0.6807,1.222899
sh.600006,东风股份,245.326207,0.8086,1.7483,1.788702
sh.600007,中国国贸,17.496945,1.3533,0.5163,2.301591
sh.600008,首创环保,6.49885,-1.2618,1.5998,1.125461
sh.600009,上海机场,36.719317,0.5988,0.596,1.892553
sh.600010,包钢股份,364.826407,1.6393,3.2038,2.157985
sh.600011,华能国际,9.92339,1.4785,0.6926,1.912321
sh.600012,皖通高速,14.061925,-1.4737,0.5917,2.009831
sh.600015,华夏银行,4.37741,-1.4765,0.4459,0.382166
sh.600016,民生银行,6.272271,-0.2232,0.6591,0.34728
sh.600017,日照港,16.783892,0.0,0.9415,0.700138
sh.600018,上港集团,8.831347,-0.5396,0.1967,0.942447
sh.600019,宝钢股份,19.726591,-0.9943,0.5109,0.745185
sh.600020,中原高速,10.635352,-0.4535,0.6093,0.848821
sh.600021,上海电力,22.262547,10.0106,5.5786,2.841982
sh.600022,山东钢铁,-12.399225,0.0,0.5333,0.845051
sh.600023,浙能电力,9.318766,0.0,0.3209,0.92738
sh.600025,华能水电,19.201858,0.2151,0.1834,2.795148
sh.600026,中远海能,16.179251,4.7259,3.1719,1.440527
sh.600027,华电国际,10.147542,0.3731,1.0156,1.398362
sh.600028,中国石化,19.103444,-1.5571,0.1924,0.833285
sh.600029,南方航空,-53.248875,0.6849,0.3617,3.209851
sh.600030,中信证券,17.788465,0.9134,1.0953,1.627321
sh.600031,三一重工,22.990619,1.9734,0.7601,2.383682
sh.600032,浙江新能,44.782068,1.9947,0.4951,1.451173
sh.600033,福建高速,12.077446,-1.1299,1.0336,0.78242
sh.600035,楚天高速,9.072447,0.2445,0.54,0.755471
sh.600036,招商银行,7.258145,-0.6736,0.2774,1.015647
sh.600037,歌华有线,-353.996021,1.3889,1.3186,0.962783
sh.600038,中直股份,55.413012,0.4122,1.4346,1.746759
sh.600039,四川路桥,11.2495,0.3425,0.3025,1.605419
sh.600048,保利发展,317.231609,0.2591,1.1437,0.478295
sh.600050,中国联通,18.043612,0.0,1.3296,0.99405
sh.600051,宁波联合,31.593747,0.4155,1.9382,0.66974
sh.600052,东望时代,-10.439406,3.3543,4.4268,1.527421
sh.600053,九鼎投资,-23.321775,2.6517,1.4952,2.928192
sh.600054,黄山旅游,29.253589,0.2419,3.9259,1.946854
sh.600055,万东医疗,97.083215,0.5879,0.6808,2.544444
sh.600056,中国医药,33.657384,0.7484,0.8179,1.374207
sh.600057,厦门象屿,12.488616,1.2245,0.6509,1.263811
sh.600058,五矿发展,55.637369,0.5302,1.7259,2.027825
sh.600059,古越龙山,46.281109,-1.0659,1.8827,1.587564
sh.600060,海信视像,11.52591,0.3683,0.665,1.437339
sh.600061,国投资本,15.86261,-0.128,0.871,0.948466
sh.600062,华润双鹤,12.932125,1.201,1.1314,1.823301
sh.600063,皖维高新,21.356867,2.8112,1.6075,1.249662
sh.600064,南京高科,6.560799,0.2538,1.1562,0.725301
sh.600066,宇通客车,15.054762,2.162,1.1901,5.00367
sh.600067,冠城新材,-6.478641,0.6969,1.5036,0.723137
sh.600071,凤凰光学,130.122026,2.5992,1.9936,12.321377
sh.600072,中船科技,-54.725365,2.0292,1.4307,1.822426
sh.600073,光明肉业,48.459876,0.8439,2.1787,1.297161
sh.600075,新疆天业,143.531792,1.5909,0.6206,0.854732
sh.600076,康欣新材,-10.140352,0.7018,2.3936,0.998081
sh.600078,澄星股份,-26.482671,2.6688,1.4968,2.581164
sh.600079,人福医药,26.040658,0.5969,4.005,1.950476
sh.600080,金花股份,38.716942,0.1353,1.136,1.775069
sh.600081,东风科技,82.153962,3.2824,1.3767,1.615221
sh.600082,海泰发展,258.562332,0.9926,3.2848,1.506151
sh.600084,中信尼雅,347.377255,-0.3623,0.4443,4.774892
sh.600085,同仁堂,33.171102,0.0285,1.2302,3.58299
sh.600088,中视传媒,84.02539,1.2821,1.3642,5.339324
sh.600089,特变电工,17.764464,6.3514,5.2499,1.148757
sh.600094,大名城,-3.158816,0.9259,1.0207,0.761164
sh.600095,湘财股份,183.678205,0.9743,1.8907,2.729248
sh.600096,云天化,9.120046,0.4587,1.3688,2.119068
sh.600097,开创国际,23.684573,-0.0886,1.9605,1.183526
sh.600098,广州发展,10.945498,0.2894,0.8288,0.895941
sh.600099,林海股份,109.463457,0.939,1.2631,4.37414
sh.600100,同方股份,-181.448947,2.0997,1.3601,1.536371
sh.600101,明星电力,27.361832,0.8147,1.844,1.808735
sh.600103,青山纸业,71.636832,10.0402,5.0965,1.549434
sh.600104,上汽集团,207.016763,1.7112,0.5165,0.740414
sh.600105,永鼎股份,42.730962,3.6623,6.9837,4.460302
sh.600106,重庆路桥,48.019701,1.7544,2.4549,1.725571
sh.600107,ST尔雅,-38.315886,-2.3495,4.021,5.090015
sh.600108,亚盛集团,60.797846,-0.3367,1.7634,1.339563
sh.600109,国金证券,15.880153,0.9128,1.4543,1.074391
sh.600110,诺德股份,-50.609229,4.3185,16.0254,2.38161
sh.600111,北方稀土,96.793482,2.2631,6.3082,7.864129
sh.600113,浙江东日,178.635041,4.4163,2.6657,10.371162
sh.600114,东睦股份,39.164832,4.7602,4.4593,6.366831
sh.600115,中国东航,-31.249481,1.7588,0.5431,6.867992
sh.600116,三峡水利,99.909736,0.2985,0.3342,1.166282
sh.600117,西宁特钢,-13.56187,1.2085,1.5602,2.508938
sh.600118,中国卫星,-3513.709414,0.3353,3.5877,6.176021
sh.600119,长江投资,-43.916685,-0.358,3.226,24.531754
sh.600120,浙江东方,17.708656,1.6393,1.6815,1.330308
sh.600121,郑州煤电,101.862031,1.5075,1.2333,2.932222
sh.600123,兰花科创,43.433107,1.3846,0.8282,0.60324
sh.600125,铁龙物流,16.409206,-0.4983,1.7128,1.020475
sh.600126,杭钢股份,-44.924498,1.1853,2.7151,1.64405
sh.600127,金健米业,266.484706,0.5831,1.696,6.520774
sh.600128,苏豪弘业,67.111777,0.7373,3.6982,1.26919
sh.600129,太极集团,-37.880331,0.584,1.6541,3.433921
sh.600130,*ST波导,973.064759,2.2843,3.6014,3.127738
sh.600131,国网信通,31.989125,0.9324,0.8606,3.376422
sh.600132,重庆啤酒,24.686014,0.0728,0.7066,16.447426
sh.600133,东湖高新,19.627813,1.9016,1.8444,1.11109
sh.600135,乐凯胶片,-50.246133,1.6107,1.6265,1.73199
sh.600136,ST明诚,-48.692167,1.0811,0.3933,15.559649
sh.600137,浪莎股份,73.550278,-0.1042,2.2846,3.494279
sh.600138,中青旅,48.698135,1.462,5.4004,1.192105
sh.600141,兴发集团,19.528364,2.1212,1.1741,1.405733
sh.600143,金发科技,45.300721,7.2727,14.2926,2.561785
sh.600148,长春一东,23968.4217,1.9432,1.6227,6.15544
sh.600149,廊坊发展,23.501437,0.9259,2.1001,8.766618
sh.600150,中国船舶,34.283176,2.4137,3.4682,3.345735
sh.600151,航天机电,-46.021904,2.133,1.395,2.496373
sh.600152,维科技术,-65.112641,5.5241,15.1074,2.287743
sh.600153,建发股份,11.653228,-1.2346,0.8062,0.545743
sh.600155,华创云信,177.877913,0.1339,1.5047,0.833695
sh.600156,华升股份,-90.954347,-1.9767,8.2451,8.541978
sh.600157,永泰能源,63.217045,1.4085,1.8675,0.668153
sh.600158,中体产业,561.837202,4.1998,11.1989,3.394548
sh.600159,大龙地产,-11.464568,0.3663,2.1347,1.324954
sh.600160,巨化股份,30.478616,2.3083,1.9288,5.038133
sh.600161,天坛生物,26.91033,0.4564,0.6176,3.384597
sh.600162,香江控股,-51544.003571,1.1834,1.1088,0.955295
sh.600163,中闽能源,16.053387,0.1905,0.5923,1.444038
sh.600165,ST宁科,-9.157643,0.0,1.3513,-26.302708
sh.600166,福田汽车,48.944544,1.4815,1.417,1.438309
sh.600167,联美控股,21.469479,1.8237,0.4538,1.395109
sh.600168,武汉控股,52.410479,-0.7859,2.151,0.933759
sh.600169,太原重工,40.006677,1.2876,0.9511,1.488642
sh.600170,上海建工,10.352652,-0.4167,2.073,0.680353
sh.600171,上海贝岭,61.875836,1.9941,2.9231,5.574672
sh.600172,黄河旋风,-6.471184,3.3408,3.7028,5.526458
sh.600173,卧龙新能,411.071206,-4.5386,6.8155,1.152509
sh.600176,中国巨石,18.648186,2.2145,2.3639,1.921642
sh.600177,雅戈尔,13.000142,0.0,0.3331,0.797717
sh.600178,东安动力,378.6971,0.8308,1.623,2.439725
sh.600179,安通控股,14.905106,0.8876,1.2041,1.278739
sh.600180,瑞茂通,-130.081675,1.1186,1.3254,0.621499
sh.600182,S佳通,37.091194,0.7848,0.9452,4.931524
sh.600183,生益科技,52.80257,4.6582,2.3797,7.765093
sh.600184,光电股份,-51.712601,1.139,2.6644,4.377474
sh.600185,珠免集团,-8.87278,1.2195,1.6725,12.723057
sh.600186,莲花控股,41.867927,1.3201,3.1151,6.079534
sh.600187,国中水务,237.869314,0.0,1.5476,1.499283
sh.600188,兖矿能源,11.329338,1.3261,0.4548,2.184949
sh.600189,泉阳泉,589.295381,0.2725,1.6384,4.263256
sh.600191,华资实业,165.371772,-0.3876,1.3339,2.274656
sh.600192,长城电工,-17.160841,1.4271,2.4366,4.139396
sh.600193,*ST创兴,-9.116199,2.1429,1.174,20.305614
sh.600195,中牧股份,84.563379,0.0,0.9358,1.357276
sh.600196,复星医药,24.828727,2.9322,2.5039,1.700935
sh.600197,伊力特,29.991784,0.4428,1.223,1.954945
sh.600198,大唐电信,1290.483558,1.5625,1.6338,45.78432
sh.600199,金种子酒,-21.419416,0.6346,2.2023,3.480045
sh.600200,*ST苏吴,450.084273,-1.9231,4.9346,0.409799
sh.600201,生物股份,195.372471,0.6158,1.6499,1.691186
sh.600202,哈空调,-249.873699,0.5034,2.3434,2.77781
sh.600203,福日电子,-31.387059,2.3758,6.9188,5.058307
sh.600206,有研新材,77.382712,5.2478,8.5822,4.633801
sh.600207,安彩高科,-10.564685,1.444,12.3438,2.414217
sh.600208,衢州发展,-153.343832,0.6466,1.4835,0.955877
sh.600210,紫江企业,12.236529,3.3149,6.8728,1.836728
sh.600211,西藏药业,16.344638,7.1307,6.8332,3.91018
sh.600212,绿能慧充,431.40344,0.479,4.1253,11.443216
sh.600215,派斯林,-86.029598,1.6552,1.7833,1.657049
sh.600216,浙江医药,9.663967,1.328,1.2371,1.308516
sh.600217,中再资环,-14.383164,0.2288,0.6763,2.355987
sh.600218,全柴动力,47.915608,2.5559,2.0073,1.295456
sh.600219,南山铝业,8.688424,2.3377,1.6161,0.884866
sh.600221,海航控股,-293.493129,2.649,1.2907,26.139137
sh.600222,太龙药业,90.354016,0.8889,3.9586,2.442061
sh.600223,福瑞达,36.176537,-0.3745,1.2627,1.953872
sh.600226,亨通股份,52.688415,1.4327,3.35,2.965543
sh.600227,赤天化,-42.517282,1.2195,1.566,1.681153
sh.600228,*ST返利,-40.653609,0.0,2.1317,4.623302
sh.600229,城市传媒,-138.747912,0.7519,0.8081,1.394716
sh.600230,沧州大化,242.923546,1.9763,2.3296,1.332303
sh.600231,凌钢股份,-3.288502,1.0101,0.6338,1.141637
sh.600232,金鹰股份,-106.085157,0.8955,2.0496,2.672924
sh.600233,圆通速递,15.551567,-0.6236,0.5983,1.857784
sh.600234,科新发展,32.176349,1.5403,1.2573,4.574512
sh.600235,民丰特纸,59.544372,0.4601,2.6816,1.524181
sh.600236,桂冠电力,24.611612,0.316,0.0953,2.852483
sh.600237,铜峰电子,45.005816,2.8112,2.8468,2.549811
sh.600238,*ST椰岛,-18.754448,2.6646,1.6285,31.707599
sh.600239,云南城投,-29.792833,0.8475,1.2971,2.985376
sh.600241,时代万恒,178.809604,3.8835,6.3364,2.151375
sh.600243,*ST海华,-25.90141,-2.3256,2.5328,3.178994
sh.600246,万通发展,-58.209809,-7.3388,20.7383,4.484032
sh.600248,陕建股份,5.865488,0.0,0.6471,0.515707
sh.600249,两面针,41.172771,-0.1678,4.2886,1.501584
sh.600250,南京商旅,149.136288,-6.3814,12.2324,6.324593
sh.600251,冠农股份,32.786609,1.9139,1.281,1.730498
sh.600252,中恒集团,-23.374885,0.7407,1.3867,1.484946
sh.600255,鑫科材料,151.731459,3.0691,4.864,5.018435
sh.600256,广汇能源,13.558785,1.002,1.023,1.359555
sh.600257,大湖股份,-40.40795,1.0989,4.7702,3.341322
sh.600258,首旅酒店,20.103363,1.0617,1.8251,1.454427
