股票代码,股票名称_x,年份,净利润(万元),ROE(%),毛利率(%),资产负债率(%),流动比率,经营现金流净额(万元),净利润_2022,净利润_2023,净利润_2024,2023净利润增速(%),2024净利润增速(%),股票名称_y,peTTM,pctChg,turn,pbMRQ,股票名称
sz.000908,ST景峰,2024,159447260.21,26.848556,0.628,0.010161,0.251117,-555.111200304617,-100887165.53,-206500283.55,159447260.21,5.0,177.21406356877614,ST景峰,34.491087,3.6332,4.6593,106.996055,ST景峰
sh.688506,百利天恒,2024,3707504555.84,1.836399,0.954594,0.004556,3.185541,405751.03958913486,-282383469.11,-780498884.81,3707504555.84,5.0,575.0172777943857,百利天恒,-74.921487,-1.1414,1.4701,55.592148,百利天恒
sz.002052,同洲电子,2024,49336759.34,1.457377,0.332934,0.009595,0.963415,32804.37718546905,-47611706.47,-82897194.38,49336759.34,5.0,159.51559604519394,同洲电子,37.309457,1.7276,4.7219,39.699822,同洲电子
sh.600462,退市九有,2024,15173397.92,1.050817,0.458803,0.008704,0.776043,-3963.558488885935,-88893674.5,-72734141.26,15173397.92,18.178496198849327,120.86145193597628,,,,,,退市九有
sz.000953,河化股份,2024,79669602.14,0.748945,0.153592,0.005138,1.019134,-2802.720168494834,-100608642.24,-11885850.19,79669602.14,88.1860544726898,770.2894691288382,河化股份,32.218922,0.7112,3.8514,17.327658,河化股份
sh.603363,傲农生物,2024,63091581.34,0.72273,0.045179,0.00678,0.801719,-11636.156974301628,-1226950653.42,-3768684352.22,63091581.34,5.0,101.67410097114752,傲农生物,8.265311,-2.0833,6.922,3.847891,傲农生物
sh.600132,重庆啤酒,2024,2249380492.36,0.670347,0.485723,0.007763,0.47537,245963.26100873455,2586899641.43,2711568555.19,2249380492.36,5.0,5.0,重庆啤酒,24.686014,0.0728,0.7066,16.447426,重庆啤酒
sz.300641,正丹股份,2024,1189883845.16,0.549216,0.414901,0.000898,8.4388,89155.1785256352,55834983.73,9875124.64,1189883845.16,5.0,11949.30457627115,正丹股份,8.163959,1.3362,1.8698,3.825689,正丹股份
sz.002668,TCL智家,2024,1940646786.56,0.532186,0.230282,0.007621,1.048606,222878.18875886968,918255593.34,1537722015.96,1940646786.56,67.46121963350043,26.202705457686637,TCL智家,10.245016,0.9728,1.1767,3.670591,TCL智家
sh.601127,赛力斯,2024,4740116433.25,0.502402,0.261518,0.008738,0.865378,2186912.669585405,-5220557281.15,-4156716456.96,4740116433.25,20.377916894643356,214.03511599433625,赛力斯,32.949462,-1.2138,4.8453,8.941639,赛力斯
sz.002124,天邦食品,2024,1458850502.24,0.495081,0.164991,0.007258,0.282027,-96408.12528407971,476914195.84,-2889114323.49,1458850502.24,5.0,150.4947308723226,天邦食品,6.898312,0.3333,1.9355,1.66054,天邦食品
sh.603202,天有为,2024,1136148890.45,0.493977,0.354587,0.004395,2.15681,105243.11393191952,,,1136148890.45,,,天有为,14.442207,1.6717,4.1325,2.455865,天有为
sh.605499,东鹏饮料,2024,3326429004.69,0.474852,0.448094,0.006608,0.855883,578315.5407302731,1440520571.36,2039772803.92,3326429004.69,41.59969975258627,63.07840747250509,东鹏饮料,38.608744,-0.5565,0.401,17.550084,东鹏饮料
sz.301004,嘉益股份,2024,732937910.53,0.44814,0.376686,0.003078,3.41805,48361.10586095105,271158009.28,472032916.88,732937910.53,74.08038882324695,55.27262703933996,嘉益股份,12.974021,1.9033,0.8244,4.927092,嘉益股份
sh.600149,廊坊发展,2024,105866937.03,0.44772,0.39583,0.004881,1.266953,783.1131142386229,-12762027.9,-21625335.02,105866937.03,5.0,589.5505060711887,廊坊发展,23.501437,0.9259,2.1001,8.766618,廊坊发展
