股票代码,股票名称,当前价格,市值(亿),投资策略,选择原因,综合评分,市盈率,市净率,净资产收益率(%),资产负债率(%),营收增长率(%),净利润增长率(%)
600844,公司_600844,400.42,4386847606633.8,价值投资,低估值+高分红+稳定盈利,65.96,5.96,0.58,22.44,48.12,-4.56,9.52
2700,公司_002700,16.34,928980204947.3,价值投资,低估值+高分红+稳定盈利,64.75,8.92,0.6,27.95,48.01,34.52,92.06
601969,公司_601969,267.72,2463580308268.7,质量投资,高ROE+低负债+稳定增长,55.25,17.12,8.32,29.59,26.76,13.49,92.4
688620,公司_688620,181.14,3505872435361.1,质量投资,高ROE+低负债+稳定增长,55.16,15.04,15.58,26.24,25.69,9.67,98.74
603555,公司_603555,154.33,1659665153943.1,价值投资,低估值+高分红+稳定盈利,55.11,8.63,0.67,16.85,26.47,19.78,28.85
2818,公司_002818,240.19,4757554115397.4,质量投资,高ROE+低负债+稳定增长,55.1,19.06,8.34,27.72,23.96,42.02,92.13
2917,公司_002917,64.9,1824806979525.2,质量投资,高ROE+低负债+稳定增长,54.93,16.31,9.92,29.69,26.11,-7.46,89.59
603611,公司_603611,213.81,3217213349603.8,质量投资,高ROE+低负债+稳定增长,54.42,17.4,14.52,26.35,26.72,36.11,96.3
2764,公司_002764,183.41,2280058200665.0,质量投资,高ROE+低负债+稳定增长,54.26,69.27,14.23,26.32,20.81,48.71,86.71
600212,公司_600212,405.92,4100554157899.3,质量投资,高ROE+低负债+稳定增长,54.18,85.75,4.74,29.78,25.98,47.95,85.41
300981,公司_300981,354.1,4315820222194.0,质量投资,高ROE+低负债+稳定增长,54.14,38.06,19.78,28.95,22.4,24.0,81.89
300719,公司_300719,462.51,1499045679315.1,质量投资,高ROE+低负债+稳定增长,54.03,31.19,15.02,27.49,30.6,-7.55,97.35
600509,公司_600509,206.54,549051615759.8,质量投资,高ROE+低负债+稳定增长,53.65,95.85,16.46,24.4,24.06,49.01,93.32
600081,公司_600081,389.78,3761354559866.3,成长投资,高增长+合理估值+优质赛道,52.18,34.31,19.83,21.49,47.8,49.32,95.97
300207,公司_300207,276.49,3834109931377.1,成长投资,高增长+合理估值+优质赛道,50.55,13.88,4.95,23.5,38.47,42.3,94.86
666,公司_000666,34.45,2157782426720.5,成长投资,高增长+合理估值+优质赛道,50.14,6.02,13.66,21.48,34.41,38.72,99.77
2346,公司_002346,239.08,3233996706092.2,成长投资,高增长+合理估值+优质赛道,49.66,15.11,19.81,26.41,37.78,36.77,93.54
600219,公司_600219,77.79,1517492492330.0,成长投资,高增长+合理估值+优质赛道,49.49,8.51,13.0,20.92,41.02,46.92,90.15
688661,公司_688661,435.81,3993039050805.0,成长投资,高增长+合理估值+优质赛道,48.16,9.93,5.14,16.34,49.3,48.23,90.51
2316,公司_002316,59.42,2983574781725.6,成长投资,高增长+合理估值+优质赛道,48.12,23.71,11.19,15.98,47.62,40.09,99.01
